Payee,Paid_By,Payment_Amount,Payment_Date,Payee_Type,Payee_Address,City_State_Zip,Payment_Year,Expenditure_Type,Date_Reported,Report_Filed,Expense_Description,Travel_Outside_Texas,Political_Obligation,Reimbursement_Intended,Correction,View_Report,TRANSACTION_ID
Create MultiMedia,"Garza, Delia",$20.25,06/09/2017,Entity,1012 38 1/2 St E,"Austin, TX, 78751",2017,Political Expenditure from Political Contributions,07/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Advertising Expense | web hosting fee,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280542),R20170717171956-F0008
Con Mi Madre's,"Garza, Delia",$528.96,01/23/2017,Entity,4175 Freidrich Lane,"Austin, TX, 78744",2017,Non-political Expenditure Made From Political Contributions,07/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Contributions/Donations Made By Candidate/Officeholder/Political Committee | Donation to Con Mi Madre non profit,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280542),R20170717171956-F0009
Latinitas,"Garza, Delia",$332.02,06/06/2017,Entity,4926 E Cesar Chavez St,"Austin, TX, 78702",2017,Non-political Expenditure Made From Political Contributions,07/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Contributions/Donations Made By Candidate/Officeholder/Political Committee | Donation,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280542),R20170717171956-F0010
Nationbuilder,"Flannigan, James T. ""Jimmy""",$108.00,12/01/2016,Entity,"520 S. Grand Ave., 2nd Floor, #200","Los Angeles, CA, 90071",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | database software,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0014
Serrano's,"Flannigan, James T. ""Jimmy""",$304.15,11/08/2016,Entity,11100 Pecan Park Blvd,"Cedar Park, TX, 78613",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Event Expense | Election night event,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0015
Arbor PAC,Austinites for Equity,$1000.00,11/18/2016,Entity,8127 Mesa Dr. #B-206 PMB 255,"Austin, TX, 78759",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Contributions/Donations Made By Candidate/Officeholder/Political Committee | Donation,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269907),R20170117134014-F0004
Texas Vote Environment,Austinites for Equity,$1000.00,11/18/2016,Entity,600 West 28th St. #202,"Austin, TX, 78705",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Contributions/Donations Made By Candidate/Officeholder/Political Committee | Donation,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269907),R20170117134014-F0005
"Hernandez, Laura",Austin Forward,$4440.27,11/15/2016,Individual,2408 Manor Rd Apt 108 Austin,"Austin, TX, 78722-2020",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Salary,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0069
"Hernandez, Laura",Austin Forward,$2387.27,11/15/2016,Individual,2408 Manor Rd Apt 108 Austin,"Austin, TX, 78722-2020",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Salary,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0070
"McDonald, Patrick",Austin Forward,$1750.00,11/11/2016,Individual,115 Coleman St Austin,"Austin, TX, 78704-6317",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Contract Labor,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0077
Austin Community Foundation,"Garza, Delia",$250.00,03/30/2017,Entity,4315 Guadalupe St #300,"Austin, TX, 78751",2017,Non-political Expenditure Made From Political Contributions,07/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Contributions/Donations Made By Candidate/Officeholder/Political Committee | Donation,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280542),R20170717171956-F0011
"Butts, David",Austin Forward,$5000.00,09/13/2016,Individual,1914 Patton Ln,"Austin, TX, 78723-1236",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,CONSULT,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0099
Precision Camera,"Flannigan, James T. ""Jimmy""",$722.02,12/08/2016,Entity,2438 W Anderson Ln B-4,"Austin, TX, 78757",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | Camera for officeholder events,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0020
Facebook,"Flannigan, James T. ""Jimmy""",$734.40,11/09/2016,Entity,1601 S. California Ave.,"Palo Alto, CA, 94304",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Advertising Expense | political online advertising,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0021
American Printing & Mailing,"Flannigan, James T. ""Jimmy""",$1850.78,11/04/2016,Entity,1606 Headway Circle,"Austin, TX, 78754",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Printing Expense | printing - door hangers,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0022
"Basrau, Zain","Flannigan, James T. ""Jimmy""",$195.00,11/10/2016,Individual,3710 Green Trails N.,"Austin, TX, 78731",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | contract labor,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0029
"Taper, Jason","Flannigan, James T. ""Jimmy""",$324.00,11/21/2016,Individual,2807 Rio Grande St.,"Austin, TX, 78705",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | contract labor,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0033
"Ellis, Hayley","Flannigan, James T. ""Jimmy""",$333.75,11/01/2016,Individual,1608 Southwestern Trail,"Round Rock, TX, 78664",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | contract labor,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0034
Jolt Action,"Garza, Delia",$200.00,01/18/2017,Entity,P.O. Box 4185,"Austin, TX, 78765",2017,Non-political Expenditure Made From Political Contributions,07/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Contributions/Donations Made By Candidate/Officeholder/Political Committee | Donation,,No,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280542),R20170717171956-F0012
"McKinney, James",Austin Forward,$3000.00,08/26/2016,Individual,6917 Langston Dr,"Austin, TX, 78723-2219",2016,Political Expenditure from Political Contributions,10/11/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,SALARIES,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264537),R20161013171400-F0107
"Kate, Messer","Flannigan, James T. ""Jimmy""",$200.00,12/16/2016,Individual,4716 Oldfort Hill Dr,"Austin, TX, 78723",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | Transition staff salary,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0030
"Basravi, Zain","Flannigan, James T. ""Jimmy""",$236.25,11/03/2016,Individual,3710 Green Trails N.,"Austin, TX, 78731",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | contract labor,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0031
"Sheth, Amar","Flannigan, James T. ""Jimmy""",$247.50,11/01/2016,Individual,7118 Bramlett Ct.,"Sugar Land, TX, 77479",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | contract labor,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0032
"Schemagin, George","Flannigan, James T. ""Jimmy""",$375.00,11/10/2016,Individual,4502 S. 3rd St.,"Austin, TX, 78745",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Consulting Expense | photography,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0036
"Miranda, Justin","Flannigan, James T. ""Jimmy""",$386.25,11/10/2016,Individual,901 W. Looper,"Edinburg, TX, 70541",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | contract labor,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0037
"Taper, Jason","Flannigan, James T. ""Jimmy""",$400.00,11/03/2016,Individual,2807 Rio Grande St.,"Austin, TX, 78705",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | contract labor,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0038
ESC Marketing,Our City Our Safety Our Choice PAC,$50.00,06/01/2017,Entity,13505 Bolivia Dr,"Austin, TX, 78729",2017,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Office Overhead/Rental Expense | Website Hosting,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280547),R20170717172836-F0001
"Siever, Michael","Flannigan, James T. ""Jimmy""",$450.00,11/03/2016,Individual,9508 Meadowheath Dr.,"Austin, TX, 78729",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | contract labor,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0040
"Prichard, Casey","Flannigan, James T. ""Jimmy""",$465.00,11/10/2016,Individual,3607 Greystone Dr. #1512,"Austin, TX, 78731",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | contract labor,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0041
"Prichard, Casey","Flannigan, James T. ""Jimmy""",$630.00,11/01/2016,Individual,3607 Greystone Dr. #1512,"Austin, TX, 78731",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | contract labor,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269911),R20170117133615-F0042
Clean Water Action,Texas Vote Environment PAC,$1600.00,11/07/2016,Entity,600 W. 28th Ste Suite 202,"Austin, TX, 78705",2016,Political Expenditure from Political Contributions,01/12/2017,GPAC: General-Purpose Committee Campaign Finance Report,"Canvass, Phone Banking",,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269808),R20170117165342-F0004
Clean Water Action,Texas Vote Environment PAC,$4600.00,11/15/2016,Entity,600 W. 28th Ste Suite 202,"Austin, TX, 78705",2016,Political Expenditure from Political Contributions,01/12/2017,GPAC: General-Purpose Committee Campaign Finance Report,"Canvass, Phone Banking",,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269808),R20170117165342-F0005
Clean Water Action,Texas Vote Environment PAC,$2500.00,11/29/2016,Entity,600 W. 28th Ste Suite 202,"Austin, TX, 78705",2016,Political Expenditure from Political Contributions,01/12/2017,GPAC: General-Purpose Committee Campaign Finance Report,"Canvass, Phone Banking",,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269808),R20170117165342-F0006
Clean Water Action,Texas Vote Environment PAC,$1500.00,12/14/2016,Entity,600 W. 28th Ste Suite 202,"Austin, TX, 78705",2016,Political Expenditure from Political Contributions,01/12/2017,GPAC: General-Purpose Committee Campaign Finance Report,"Canvass, Phone Banking",,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269808),R20170117165342-F0007
Littlefield Consulting,Our City Our Safety Our Choice PAC,$500.00,05/07/2017,Entity,7705 Vail Valley Dr,"Austin, TX, 78749",2017,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Polling Expense | Polling,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280547),R20170717172836-F0002
Flores Mexican Restaurant,"Garza, Delia",$171.55,11/01/2016,Entity,4625 W William Cannon D,"Austin, TX, 78749",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Food/Beverage Expense | Food for fundraising event,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269908),R20170117133916-F0004
Jalisco's,"Garza, Delia",$213.37,11/08/2016,Entity,6601 S Congress Ave,"Austin, TX, 78745",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Event Expense | Food for volunteers,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269908),R20170117133916-F0005
Postmaster,"Garza, Delia",$35.25,10/31/2016,Entity,6104 Old Fredercksburg Rd.,"Austin, TX, 78749",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | postage,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269908),R20170117133916-F0006
Alexander Hart,Texas Vote Environment PAC,$104.00,11/08/2016,Individual,4520 Speedway Apt A,"Austin, TX, 78751",2016,Political Expenditure from Political Contributions,01/12/2017,GPAC: General-Purpose Committee Campaign Finance Report,Canvassing,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269808),R20170117165342-F0010
Kendall Debocat,Texas Vote Environment PAC,$104.00,11/08/2016,Individual,4520 Speedway Apt A,"Austin, TX, 78751",2016,Political Expenditure from Political Contributions,01/12/2017,GPAC: General-Purpose Committee Campaign Finance Report,Canvassing,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269808),R20170117165342-F0011
Stuart McNalty,Texas Vote Environment PAC,$39.00,11/08/2016,Individual,1402 E. 34th,"Austin, TX, 78722",2016,Political Expenditure from Political Contributions,01/12/2017,GPAC: General-Purpose Committee Campaign Finance Report,Canvassing,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269808),R20170117165342-F0013
ESC Marketing,Our City Our Safety Our Choice PAC,$50.00,05/07/2017,Entity,13505 Bolivia Dr,"Austin, TX, 78729",2017,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Office Overhead/Rental Expense | Website Hosting,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280547),R20170717172836-F0003
Opinion Analysts,Our City Our Safety Our Choice PAC,$108.25,04/21/2017,Entity,906 Rio Grande St.,"Austin, TX, 78701",2017,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Office Overhead/Rental Expense | Voter Lists,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280547),R20170717172836-F0004
ESC Marketing,Our City Our Safety Our Choice PAC,$50.00,04/07/2017,Entity,13505 Bolivia Dr,"Austin, TX, 78729",2017,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Office Overhead/Rental Expense | Website Hosting,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280547),R20170717172836-F0005
ESC Marketing,Our City Our Safety Our Choice PAC,$50.00,03/05/2017,Entity,13505 Bolivia Dr,"Austin, TX, 78729",2017,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Office Overhead/Rental Expense | Website Hosting,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280547),R20170717172836-F0006
Chase Bank,Texas Vote Environment PAC,$10.00,10/31/2016,Entity,1904 Guadalupe,"Austin, TX, 78705",2016,Political Expenditure from Political Contributions,01/12/2017,GPAC: General-Purpose Committee Campaign Finance Report,Bank Fees,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269808),R20170117165342-F0018
"Smith, Christian",Austin Forward,$2000.00,12/02/2016,Individual,4612 Caswell Ave Austin,"Austin, TX, 78751-3352",2016,Political Expenditure from Political Contributions,01/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Contract labor,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269922),R20170123091851-F0085
ESC Marketing,Our City Our Safety Our Choice PAC,$90.00,02/02/2017,Entity,13505 Bolivia Dr,"Austin, TX, 78729",2017,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Office Overhead/Rental Expense | Website Hosting,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280547),R20170717172836-F0007
ESC Marketing,Our City Our Safety Our Choice PAC,$50.00,01/06/2017,Entity,13505 Bolivia Dr,"Austin, TX, 78729",2017,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Office Overhead/Rental Expense | Website Hosting,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280547),R20170717172836-F0008
Datafinder.ciom,Our Rail,$99.00,07/18/2016,Entity,"7530 164th Ave. NE, Suite A204","Redmond, WA, 98052",2016,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Polling Expense | Polling Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280543),R20170717172914-F0001
Datafinder.ciom,Our Rail,$99.00,07/25/2016,Entity,"7530 164th Ave. NE, Suite A204","Redmond, WA, 98052",2016,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Polling Expense | Polling Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280543),R20170717172914-F0002
Datafinder.ciom,Our Rail,$176.96,07/25/2016,Entity,"7530 164th Ave. NE, Suite A204","Redmond, WA, 98052",2016,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Polling Expense | Polling Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280543),R20170717172914-F0003
US Postal Service,Our Rail,$680.00,07/25/2016,Entity,8225 Cross Park,"Austin, TX, 78710",2016,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Polling Expense | Polling Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280543),R20170717172914-F0004
CallFire Inc.,Our Rail,$299.15,07/25/2016,Entity,"1410 2nd Street, Suite 200","Santa Monica, CA, 90401",2016,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Polling Expense | Polling Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280543),R20170717172914-F0005
Office Max Inc.,Our Rail,$375.64,07/25/2016,Entity,4615 North Lamar,"Austin, TX, 78710",2016,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Polling Expense | Polling Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280543),R20170717172914-F0006
CallFire Inc.,Our Rail,$2.00,07/26/2016,Entity,"1410 2nd Street, Suite 200","Santa Monica, CA, 90401",2016,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Polling Expense | Polling Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280543),R20170717172914-F0007
Datafinder.ciom,Our Rail,$222.28,07/29/2016,Entity,"7530 164th Ave. NE, Suite A204","Redmond, WA, 98052",2016,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Polling Expense | Polling Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280543),R20170717172914-F0008
DonateWay,"Faulkner, Wesley E.",$17.80,09/15/2016,Entity,P.O. Box 301267,"Austin, TX, 78703",2016,Political Expenditure from Political Contributions,10/14/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Fees | Campaign donor website donation processing/handling fee,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264536),R20161014163118-F0039
WalmartMobil,"Houston, Ora",$30.19,07/14/2016,Entity,1030 Norwood Park Blvd,"Austin, TEXAS, 78753",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | Cell Phone,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269917),R20170117134459-F0002
WalmartMobil,"Houston, Ora",$30.22,08/15/2016,Entity,1030 Norwood Park Blvd,"Austin, TEXAS, 78753",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | Cell Phone,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269917),R20170117134459-F0003
WalmartMobil,"Houston, Ora",$30.22,09/13/2016,Entity,1030 Norwood Park Blvd,"Austin, TEXAS, 78753",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | Cell Phone,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269917),R20170117134459-F0004
WalmartMobil,"Houston, Ora",$30.13,12/14/2016,Entity,1030 Norwood Park Blvd,"Austin, TEXAS, 78753",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | Cell Phone,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269917),R20170117134459-F0010
Sunny's Bookkeeping & Tax Service,"Houston, Ora",$1000.00,12/19/2016,Entity,4700 Loyola Lane Suite 101,"Austin, TEXAS, 78723",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Accounting/Banking | Bookeeping & Filing Report,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269917),R20170117134459-F0011
Austin CPAAA,"Houston, Ora",$200.00,12/20/2016,Entity,P O BOX 423,"Austin, TEXAS, 78767",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Contributions/Donations Made By Candidate/Officeholder/Political Committee | Donation,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269917),R20170117134459-F0012
US Postal Service,Our Rail,$1042.78,07/26/2106,Entity,8225 Cross Park,"Austin, TX, 78710",2106,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Printing Expense | Polling Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280543),R20170717172914-F0009
BumperActive.com,Our Rail,$281.45,08/10/2016,Entity,5925 Burnet,"Austin, TX, 78757",2016,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Polling Expense | Printing Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280543),R20170717172914-F0010
Sage Payment Solutions,"Houston, Ora",$94.75,10/03/2016,Entity,12120 Sunset Hille Rd Suite 500,"Reston, VA, 20190",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Credit Card Payment | Merchant Fees,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269917),R20170117134459-F0005
WalmartMobil,"Houston, Ora",$30.22,10/17/2016,Entity,1030 Norwood Park Blvd,"Austin, TEXAS, 78753",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | Cell Phone,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269917),R20170117134459-F0006
Sage Payment Solutions,"Houston, Ora",$1.25,11/02/2016,Entity,12120 Sunset Hille Rd Suite 500,"Reston, VA, 20190",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | Merchant Fees,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269917),R20170117134459-F0007
WalmartMobil,"Houston, Ora",$30.13,11/14/2016,Entity,1030 Norwood Park Blvd,"Austin, TEXAS, 78753",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | Cell Phone,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269917),R20170117134459-F0008
Sage Payment Solutions,"Houston, Ora",$1.25,12/02/2016,Entity,12120 Sunset Hille Rd Suite 500,"Reston, VA, 20190",2016,Political Expenditure from Political Contributions,01/17/2017,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | Merchant Fees,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=269917),R20170117134459-F0009
Survey Monkey,Our Rail,$285.74,08/05/2016,Entity,101 Lytton Ave.,"Palo Alto, CA, 94301",2016,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,Polling Expense | Polling Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280543),R20170717172914-F0011
"Morris, Scott",Our Rail,$129.59,08/14/2016,Individual,P.O. Box 49168,"Austin, TX, 78765",2016,Political Expenditure from Political Contributions,07/17/2017,SPAC: Specific-Purpose Committee Campaign Finance Report,"Other | Food, meet with Statistician",,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280543),R20170717172914-F0012
Act Blue Technical Services,Stonewall Democrats of Austin,$4.55,02/12/2017,Entity,366 Summer St,"Somerville, MA, 02144-3132",2017,Political Expenditure from Political Contributions,07/17/2017,GPAC: General-Purpose Committee Campaign Finance Report,Fees | Service Fee,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280545),R20170717173504-F0001
Act Blue Technical Services,Stonewall Democrats of Austin,$1.19,02/19/2017,Entity,366 Summer St,"Somerville, MA, 02144-3132",2017,Political Expenditure from Political Contributions,07/17/2017,GPAC: General-Purpose Committee Campaign Finance Report,Fees | Service Fee,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280545),R20170717173504-F0002
Act Blue Technical Services,Stonewall Democrats of Austin,$1.19,03/12/2017,Entity,366 Summer St,"Somerville, MA, 02144-3132",2017,Political Expenditure from Political Contributions,07/17/2017,GPAC: General-Purpose Committee Campaign Finance Report,Fees | Service Fee,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280545),R20170717173504-F0003
Act Blue Technical Services,Stonewall Democrats of Austin,$2.37,04/09/2017,Entity,366 Summer St,"Somerville, MA, 02144-3132",2017,Political Expenditure from Political Contributions,07/17/2017,GPAC: General-Purpose Committee Campaign Finance Report,Fees | Service Fee,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=280545),R20170717173504-F0004
